profile_id,device_info,os,browser,screen,device_type
Windows | UnknownOS | chrome 62.0 | UnknownScreen,Windows,nan,chrome 62.0,nan,desktop
SM-G955U Build/NRD90M | Android 7.0 | chrome 63.0 for android | UnknownScreen,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,nan,mobile
HUAWEI Y560-L03 Build/HUAWEIY560-L03 | UnknownOS | chrome 61.0 for android | UnknownScreen,HUAWEI Y560-L03 Build/HUAWEIY560-L03,nan,chrome 61.0 for android,nan,mobile
MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1280x800,MacOS,Mac OS X 10_12_6,chrome 62.0,1280x800,desktop
Windows | Windows 7 | chrome 63.0 | 1280x1025,Windows,Windows 7,chrome 63.0,1280x1025,desktop
Windows | Windows 7 | chrome 63.0 | 1920x1200,Windows,Windows 7,chrome 63.0,1920x1200,desktop
2PYB2 | UnknownOS | chrome 63.0 for android | UnknownScreen,2PYB2,nan,chrome 63.0 for android,nan,mobile
M4 SS4456 Build/LMY47V | UnknownOS | chrome 63.0 for android | UnknownScreen,M4 SS4456 Build/LMY47V,nan,chrome 63.0 for android,nan,mobile
MacOS | Mac OS X 10_13_2 | safari generic | 2880x1800,MacOS,Mac OS X 10_13_2,safari generic,2880x1800,desktop
MacOS | Mac OS X 10_12_5 | safari generic | 2560x1440,MacOS,Mac OS X 10_12_5,safari generic,2560x1440,desktop
SAMSUNG SM-J730GM Build/NRD90M | UnknownOS | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-J730GM Build/NRD90M,nan,samsung browser 6.2,nan,mobile
UnknownDevice | UnknownOS | opera | UnknownScreen,nan,nan,opera,nan,desktop
MacOS | Mac OS X 10_6_8 | chrome 49.0 | 1920x1080,MacOS,Mac OS X 10_6_8,chrome 49.0,1920x1080,desktop
CHC-U03 Build/HuaweiCHC-U03 | UnknownOS | chrome 63.0 for android | UnknownScreen,CHC-U03 Build/HuaweiCHC-U03,nan,chrome 63.0 for android,nan,mobile
iOS Device | iOS 11.1.0 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.1.0,mobile safari 11.0,2208x1242,mobile
HUAWEI VNS-L53 Build/HUAWEIVNS-L53 | UnknownOS | chrome 63.0 for android | UnknownScreen,HUAWEI VNS-L53 Build/HUAWEIVNS-L53,nan,chrome 63.0 for android,nan,mobile
SM-T820 Build/NRD90M | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-T820 Build/NRD90M,nan,chrome 63.0 for android,nan,mobile
8050G Build/LMY47I | UnknownOS | chrome 61.0 for android | UnknownScreen,8050G Build/LMY47I,nan,chrome 61.0 for android,nan,mobile
iOS Device | iOS 11.0.2 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.0.2,mobile safari 11.0,1334x750,mobile
Moto Z (2 | UnknownOS | chrome generic | UnknownScreen,Moto Z (2,nan,chrome generic,nan,mobile
BAC-L03 Build/HUAWEIBAC-L03 | UnknownOS | chrome 63.0 for android | UnknownScreen,BAC-L03 Build/HUAWEIBAC-L03,nan,chrome 63.0 for android,nan,mobile
SM-A510M Build/NRD90M | UnknownOS | chrome 59.0 for android | UnknownScreen,SM-A510M Build/NRD90M,nan,chrome 59.0 for android,nan,mobile
SM-G530H Build/LRX22G | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-G530H Build/LRX22G,nan,chrome 63.0 for android,nan,mobile
MacOS | Mac OS X 10_12_6 | chrome 61.0 | 1440x900,MacOS,Mac OS X 10_12_6,chrome 61.0,1440x900,desktop
M4 SS4453 Build/MMB29M | UnknownOS | chrome 63.0 for android | UnknownScreen,M4 SS4453 Build/MMB29M,nan,chrome 63.0 for android,nan,mobile
MacOS | Mac OS X 10_10_5 | safari generic | 2880x1800,MacOS,Mac OS X 10_10_5,safari generic,2880x1800,desktop
Windows | Windows Vista | chrome 49.0 | 1024x768,Windows,Windows Vista,chrome 49.0,1024x768,desktop
Windows | Windows 8.1 | firefox 57.0 | 1366x768,Windows,Windows 8.1,firefox 57.0,1366x768,desktop
D6603 Build/23.5.A.1.291 | UnknownOS | chrome 62.0 for android | UnknownScreen,D6603 Build/23.5.A.1.291,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.2.1 | mobile safari 11.0 | 1136x640,iOS Device,iOS 11.2.1,mobile safari 11.0,1136x640,mobile
SAMSUNG SM-G532M Build/MMB29T | UnknownOS | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-G532M Build/MMB29T,nan,samsung browser 6.2,nan,mobile
SM-G950U Build/NRD90M | Android 7.0 | chrome 63.0 for android | 2220x1080,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,mobile
Windows | Windows 8.1 | chrome 63.0 | UnknownScreen,Windows,Windows 8.1,chrome 63.0,nan,desktop
rv:51.0 | Windows 8.1 | firefox | 1920x1080,rv:51.0,Windows 8.1,firefox,1920x1080,desktop
XT1032 Build/LPBS23.13-56-2 | UnknownOS | chrome | UnknownScreen,XT1032 Build/LPBS23.13-56-2,nan,chrome,nan,mobile
rv:52.0 | UnknownOS | firefox 52.0 | UnknownScreen,rv:52.0,nan,firefox 52.0,nan,desktop
hi6210sft Build/MRA58K | UnknownOS | chrome 63.0 for android | UnknownScreen,hi6210sft Build/MRA58K,nan,chrome 63.0 for android,nan,mobile
iOS Device | iOS 11.0.0 | mobile safari 11.0 | 1136x640,iOS Device,iOS 11.0.0,mobile safari 11.0,1136x640,mobile
rv:56.0 | UnknownOS | firefox | UnknownScreen,rv:56.0,nan,firefox,nan,desktop
5057M | UnknownOS | chrome 63.0 for android | UnknownScreen,5057M,nan,chrome 63.0 for android,nan,mobile
Windows | Windows 10 | chrome 61.0 | 1920x1080,Windows,Windows 10,chrome 61.0,1920x1080,desktop
Windows | Windows 10 | chrome 63.0 | 1920x1280,Windows,Windows 10,chrome 63.0,1920x1280,desktop
iOS Device | iOS 11.1.2 | mobile safari generic | 2001x1125,iOS Device,iOS 11.1.2,mobile safari generic,2001x1125,mobile
MHA-L09 Build/HUAWEIMHA-L09 | UnknownOS | chrome 63.0 for android | UnknownScreen,MHA-L09 Build/HUAWEIMHA-L09,nan,chrome 63.0 for android,nan,mobile
5054S Build/LMY47V | UnknownOS | chrome 62.0 for android | UnknownScreen,5054S Build/LMY47V,nan,chrome 62.0 for android,nan,mobile
MacOS | Mac | chrome 61.0 | 1440x900,MacOS,Mac,chrome 61.0,1440x900,desktop
UnknownDevice | Linux | chrome 63.0 | UnknownScreen,nan,Linux,chrome 63.0,nan,desktop
M4 SS4457 Build/MRA58K | UnknownOS | chrome 63.0 for android | UnknownScreen,M4 SS4457 Build/MRA58K,nan,chrome 63.0 for android,nan,mobile
5080A Build/MRA58K | UnknownOS | chrome 63.0 for android | UnknownScreen,5080A Build/MRA58K,nan,chrome 63.0 for android,nan,mobile
SM-T113 Build/KTU84P | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-T113 Build/KTU84P,nan,chrome 63.0 for android,nan,mobile
MacOS | Mac OS X 10_12_6 | chrome 63.0 | 1440x900,MacOS,Mac OS X 10_12_6,chrome 63.0,1440x900,desktop
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2208x1242,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242,mobile
D5306 Build/19.4.A.0.182 | UnknownOS | chrome 60.0 for android | UnknownScreen,D5306 Build/19.4.A.0.182,nan,chrome 60.0 for android,nan,mobile
LG-H500 Build/LRX21Y | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-H500 Build/LRX21Y,nan,chrome 62.0 for android,nan,mobile
rv:51.0 | Windows XP | firefox | 1600x900,rv:51.0,Windows XP,firefox,1600x900,desktop
SM-N950F Build/NMF26X | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-N950F Build/NMF26X,nan,chrome 63.0 for android,nan,mobile
rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 1280x800,rv:57.0,Mac OS X 10.10,firefox 57.0,1280x800,desktop
iOS Device | iOS 11.1.2 | mobile safari generic | 1136x640,iOS Device,iOS 11.1.2,mobile safari generic,1136x640,mobile
Android 5.1 | UnknownOS | android browser 4.0 | UnknownScreen,Android 5.1,nan,android browser 4.0,nan,mobile
ZTE BLADE A321 Build/NMF26F | UnknownOS | chrome 63.0 for android | UnknownScreen,ZTE BLADE A321 Build/NMF26F,nan,chrome 63.0 for android,nan,mobile
rv:47.0 | Windows XP | firefox 47.0 | 1600x900,rv:47.0,Windows XP,firefox 47.0,1600x900,desktop
MotoE2(4G-LTE | UnknownOS | chrome generic | UnknownScreen,MotoE2(4G-LTE,nan,chrome generic,nan,mobile
MacOS | Mac OS X 10_13_2 | chrome 63.0 | 2560x1600,MacOS,Mac OS X 10_13_2,chrome 63.0,2560x1600,desktop
HUAWEI CUN-L03 Build/HUAWEICUN-L03 | UnknownOS | chrome 63.0 for android | UnknownScreen,HUAWEI CUN-L03 Build/HUAWEICUN-L03,nan,chrome 63.0 for android,nan,mobile
Hisense U963 Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,Hisense U963 Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
MacOS | Mac OS X 10_13_2 | chrome 63.0 | 1440x900,MacOS,Mac OS X 10_13_2,chrome 63.0,1440x900,desktop
LG-X165g Build/LRX21M | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-X165g Build/LRX21M,nan,chrome 62.0 for android,nan,mobile
SM-T113NU Build/KTU84P | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-T113NU Build/KTU84P,nan,chrome 63.0 for android,nan,mobile
Windows | UnknownOS | ie 11.0 for desktop | UnknownScreen,Windows,nan,ie 11.0 for desktop,nan,desktop
LG-X230 Build/MRA58K | UnknownOS | chrome 63.0 for android | UnknownScreen,LG-X230 Build/MRA58K,nan,chrome 63.0 for android,nan,mobile
Y635-L03 Build/HuaweiY635-L03 | UnknownOS | chrome 61.0 for android | UnknownScreen,Y635-L03 Build/HuaweiY635-L03,nan,chrome 61.0 for android,nan,mobile
SLAY | UnknownOS | android webview 4.0 | UnknownScreen,SLAY,nan,android webview 4.0,nan,mobile
LG-H420 Build/LRX21Y | UnknownOS | chrome 49.0 for android | UnknownScreen,LG-H420 Build/LRX21Y,nan,chrome 49.0 for android,nan,mobile
iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.2.1,mobile safari 11.0,2048x1536,mobile
SM-A300H Build/LRX22G | UnknownOS | chrome generic | UnknownScreen,SM-A300H Build/LRX22G,nan,chrome generic,nan,mobile
Hisense L675 Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,Hisense L675 Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
LG-D680 Build/KOT49I | UnknownOS | chrome 61.0 for android | UnknownScreen,LG-D680 Build/KOT49I,nan,chrome 61.0 for android,nan,mobile
MacOS | Mac OS X 10_13_2 | safari generic | 3360x2100,MacOS,Mac OS X 10_13_2,safari generic,3360x2100,desktop
PRA-LX3 Build/HUAWEIPRA-LX3 | UnknownOS | chrome 63.0 for android | UnknownScreen,PRA-LX3 Build/HUAWEIPRA-LX3,nan,chrome 63.0 for android,nan,mobile
SAMSUNG SM-G925I Build/NRD90M | UnknownOS | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-G925I Build/NRD90M,nan,samsung browser 6.2,nan,mobile
E6553 | UnknownOS | chrome 63.0 for android | UnknownScreen,E6553,nan,chrome 63.0 for android,nan,mobile
S57 Build/KTU84P | UnknownOS | chrome 60.0 for android | UnknownScreen,S57 Build/KTU84P,nan,chrome 60.0 for android,nan,mobile
SM-T810 Build/NRD90M | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-T810 Build/NRD90M,nan,chrome 63.0 for android,nan,mobile
Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1920x1080,Trident/7.0,Windows 8.1,ie 11.0 for desktop,1920x1080,desktop
SAMSUNG SM-J111M Build/LMY47V | UnknownOS | chrome generic | UnknownScreen,SAMSUNG SM-J111M Build/LMY47V,nan,chrome generic,nan,mobile
MacOS | Mac OS X 10_11_6 | chrome 63.0 | 1280x800,MacOS,Mac OS X 10_11_6,chrome 63.0,1280x800,desktop
SGH-I337M Build/LRX22C | UnknownOS | chrome 63.0 for android | UnknownScreen,SGH-I337M Build/LRX22C,nan,chrome 63.0 for android,nan,mobile
Lenovo | UnknownOS | chrome 63.0 for android | UnknownScreen,Lenovo,nan,chrome 63.0 for android,nan,mobile
AX920 | UnknownOS | chrome 62.0 for android | UnknownScreen,AX920,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 7 | chrome 63.0 | 1680x1050,Windows,Windows 7,chrome 63.0,1680x1050,desktop
XT1585 Build/NCK25.118-10.5 | Android 7.0 | chrome 63.0 for android | 2560x1440,XT1585 Build/NCK25.118-10.5,Android 7.0,chrome 63.0 for android,2560x1440,mobile
rv:11.0 | Windows 7 | ie 11.0 for desktop | 1680x1050,rv:11.0,Windows 7,ie 11.0 for desktop,1680x1050,desktop
MacOS | Mac | safari generic | 1280x800,MacOS,Mac,safari generic,1280x800,desktop
rv:11.0 | Windows 7 | ie 11.0 for desktop | 1920x1200,rv:11.0,Windows 7,ie 11.0 for desktop,1920x1200,desktop
SM-T230 Build/KOT49H | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-T230 Build/KOT49H,nan,chrome 63.0 for android,nan,mobile
Moto C Build/NRD90M.063 | UnknownOS | chrome 63.0 for android | UnknownScreen,Moto C Build/NRD90M.063,nan,chrome 63.0 for android,nan,mobile
iOS Device | iOS 11.1.0 | mobile safari 11.0 | 1136x640,iOS Device,iOS 11.1.0,mobile safari 11.0,1136x640,mobile
LG-M400 Build/NRD90U | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-M400 Build/NRD90U,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 10.2.1 | mobile safari 10.0 | 2208x1242,iOS Device,iOS 10.2.1,mobile safari 10.0,2208x1242,mobile
CHC-U03 Build/HuaweiCHC-U03 | UnknownOS | chrome 62.0 for android | UnknownScreen,CHC-U03 Build/HuaweiCHC-U03,nan,chrome 62.0 for android,nan,mobile
SM-G550T Build/MMB29K | Android 6.0.1 | chrome 63.0 for android | 1280x720,SM-G550T Build/MMB29K,Android 6.0.1,chrome 63.0 for android,1280x720,mobile
LG-D331 | UnknownOS | chrome 60.0 for android | UnknownScreen,LG-D331,nan,chrome 60.0 for android,nan,mobile
GT-I9060M Build/KTU84P | UnknownOS | chrome 59.0 for android | UnknownScreen,GT-I9060M Build/KTU84P,nan,chrome 59.0 for android,nan,mobile
rv:57.0 | Windows 7 | firefox 57.0 | 1920x1080,rv:57.0,Windows 7,firefox 57.0,1920x1080,desktop
MacOS | Mac OS X 10_10_5 | safari generic | 1440x900,MacOS,Mac OS X 10_10_5,safari generic,1440x900,desktop
Windows | Windows 8.1 | chrome 63.0 | 1920x1080,Windows,Windows 8.1,chrome 63.0,1920x1080,desktop
Pixel 2 XL Build/OPM1.171019.011 | Android 8.1.0 | chrome 63.0 for android | UnknownScreen,Pixel 2 XL Build/OPM1.171019.011,Android 8.1.0,chrome 63.0 for android,nan,mobile
HUAWEI Y560-L03 Build/HUAWEIY560-L03 | UnknownOS | chrome 43.0 for android | UnknownScreen,HUAWEI Y560-L03 Build/HUAWEIY560-L03,nan,chrome 43.0 for android,nan,mobile
XT1580 | UnknownOS | chrome 56.0 for android | UnknownScreen,XT1580,nan,chrome 56.0 for android,nan,mobile
XT1563 Build/MPDS24.107-52-5 | UnknownOS | chrome 62.0 for android | UnknownScreen,XT1563 Build/MPDS24.107-52-5,nan,chrome 62.0 for android,nan,mobile
SAMSUNG SM-G955U Build/NRD90M | Android 7.0 | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,nan,mobile
M4 SS4453 Build/MMB29M | UnknownOS | chrome 62.0 for android | UnknownScreen,M4 SS4453 Build/MMB29M,nan,chrome 62.0 for android,nan,mobile
Windows | UnknownOS | firefox | UnknownScreen,Windows,nan,firefox,nan,desktop
LGMP450 Build/NRD90U | Android 7.0 | chrome 58.0 for android | 1920x1080,LGMP450 Build/NRD90U,Android 7.0,chrome 58.0 for android,1920x1080,mobile
HTC Desire 10 lifestyle Build/MMB29M | UnknownOS | chrome 63.0 for android | UnknownScreen,HTC Desire 10 lifestyle Build/MMB29M,nan,chrome 63.0 for android,nan,mobile
SM-A520F Build/NRD90M | UnknownOS | chrome 58.0 for android | UnknownScreen,SM-A520F Build/NRD90M,nan,chrome 58.0 for android,nan,mobile
iOS Device | iOS 10.0.2 | mobile safari 10.0 | 1334x750,iOS Device,iOS 10.0.2,mobile safari 10.0,1334x750,mobile
HTC Desire 10 lifestyle Build/MMB29M | UnknownOS | chrome 60.0 for android | UnknownScreen,HTC Desire 10 lifestyle Build/MMB29M,nan,chrome 60.0 for android,nan,mobile
MotoG3-TE Build/MPDS24.65-33-1-30 | UnknownOS | chrome 63.0 for android | UnknownScreen,MotoG3-TE Build/MPDS24.65-33-1-30,nan,chrome 63.0 for android,nan,mobile
SM-J105B Build/LMY47V | UnknownOS | chrome 50.0 for android | UnknownScreen,SM-J105B Build/LMY47V,nan,chrome 50.0 for android,nan,mobile
Moto C Plus Build/NRD90M.05.022 | UnknownOS | chrome 63.0 for android | UnknownScreen,Moto C Plus Build/NRD90M.05.022,nan,chrome 63.0 for android,nan,mobile
LG-D693n Build/LRX22G | UnknownOS | chrome 61.0 for android | UnknownScreen,LG-D693n Build/LRX22G,nan,chrome 61.0 for android,nan,mobile
LG-X230 Build/MRA58K | UnknownOS | chrome 61.0 for android | UnknownScreen,LG-X230 Build/MRA58K,nan,chrome 61.0 for android,nan,mobile
SM-G935T Build/NRD90M | Android 7.0 | chrome 63.0 for android | 2562x1442,SM-G935T Build/NRD90M,Android 7.0,chrome 63.0 for android,2562x1442,mobile
MacOS | Mac OS X 10_11_4 | safari generic | 1280x800,MacOS,Mac OS X 10_11_4,safari generic,1280x800,desktop
Microsoft | UnknownOS | edge | UnknownScreen,Microsoft,nan,edge,nan,mobile
SM-J510MN Build/MMB29M | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-J510MN Build/MMB29M,nan,chrome 63.0 for android,nan,mobile
Windows | Windows 7 | ie 11.0 for desktop | 1440x900,Windows,Windows 7,ie 11.0 for desktop,1440x900,desktop
iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2001x1125,iOS Device,iOS 11.1.1,mobile safari 11.0,2001x1125,mobile
iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2001x1125,iOS Device,iOS 11.2.1,mobile safari 11.0,2001x1125,mobile
MacOS | Mac OS X 10_13_2 | chrome 62.0 | 1440x900,MacOS,Mac OS X 10_13_2,chrome 62.0,1440x900,desktop
moto x4 Build/NPW26.83-18-2-0-4 | UnknownOS | chrome 58.0 for android | UnknownScreen,moto x4 Build/NPW26.83-18-2-0-4,nan,chrome 58.0 for android,nan,mobile
iOS Device | iOS 10.3.3 | mobile safari generic | 1136x640,iOS Device,iOS 10.3.3,mobile safari generic,1136x640,mobile
Moto G Play Build/MPIS24.241-15.3-7 | UnknownOS | chrome 50.0 for android | UnknownScreen,Moto G Play Build/MPIS24.241-15.3-7,nan,chrome 50.0 for android,nan,mobile
G8141 Build/47.1.A.5.51 | UnknownOS | chrome 63.0 for android | UnknownScreen,G8141 Build/47.1.A.5.51,nan,chrome 63.0 for android,nan,mobile
rv:11.0 | Windows 7 | ie 11.0 for desktop | 1366x768,rv:11.0,Windows 7,ie 11.0 for desktop,1366x768,desktop
MacOS | Mac OS X 10_10_5 | chrome 63.0 | 1366x768,MacOS,Mac OS X 10_10_5,chrome 63.0,1366x768,desktop
HUAWEI TAG-L13 Build/HUAWEITAG-L13 | UnknownOS | chrome 63.0 for android | UnknownScreen,HUAWEI TAG-L13 Build/HUAWEITAG-L13,nan,chrome 63.0 for android,nan,mobile
Trident/7.0 | Windows 8.1 | Microsoft/Windows | UnknownScreen,Trident/7.0,Windows 8.1,Microsoft/Windows,nan,mobile
iOS Device | iOS 11.1.0 | mobile safari generic | 2208x1242,iOS Device,iOS 11.1.0,mobile safari generic,2208x1242,mobile
BLL-L23 Build/HUAWEIBLL-L23 | UnknownOS | chrome 63.0 for android | UnknownScreen,BLL-L23 Build/HUAWEIBLL-L23,nan,chrome 63.0 for android,nan,mobile
G3223 Build/42.0.A.4.101 | UnknownOS | chrome 63.0 for android | UnknownScreen,G3223 Build/42.0.A.4.101,nan,chrome 63.0 for android,nan,mobile
rv:51.0 | UnknownOS | firefox | UnknownScreen,rv:51.0,nan,firefox,nan,desktop
SM-J111M Build/LMY47V | UnknownOS | other | UnknownScreen,SM-J111M Build/LMY47V,nan,other,nan,mobile
SAMSUNG-SM-G930A Build/NRD90M | Android 7.0 | chrome 60.0 for android | 1920x1080,SAMSUNG-SM-G930A Build/NRD90M,Android 7.0,chrome 60.0 for android,1920x1080,mobile
rv:11.0 | Windows 7 | ie 11.0 for desktop | 3440x1440,rv:11.0,Windows 7,ie 11.0 for desktop,3440x1440,desktop
Hisense F23 Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,Hisense F23 Build/NRD90M,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2436x1125,iOS Device,iOS 11.1.1,mobile safari 11.0,2436x1125,mobile
iOS Device | iOS 11.2.1 | mobile safari generic | 2208x1242,iOS Device,iOS 11.2.1,mobile safari generic,2208x1242,mobile
Moto E (4) Build/NMA26.42-69 | UnknownOS | android webview 4.0 | UnknownScreen,Moto E (4) Build/NMA26.42-69,nan,android webview 4.0,nan,mobile
XT1563 Build/MPD24.107-52 | UnknownOS | chrome 63.0 for android | UnknownScreen,XT1563 Build/MPD24.107-52,nan,chrome 63.0 for android,nan,mobile
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1366x768,Trident/7.0,Windows 7,ie 11.0 for desktop,1366x768,desktop
LG-D331 Build/LRX22G | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-D331 Build/LRX22G,nan,chrome 62.0 for android,nan,mobile
Ilium LT500 Build/LMY47O | UnknownOS | chrome 49.0 for android | UnknownScreen,Ilium LT500 Build/LMY47O,nan,chrome 49.0 for android,nan,mobile
Studio | UnknownOS | chrome 63.0 for android | UnknownScreen,Studio,nan,chrome 63.0 for android,nan,mobile
SM-G360V Build/LMY48B | Android 5.1.1 | chrome 51.0 for android | 801x480,SM-G360V Build/LMY48B,Android 5.1.1,chrome 51.0 for android,801x480,mobile
MacOS | Mac OS X 10_11_5 | safari generic | 1920x1080,MacOS,Mac OS X 10_11_5,safari generic,1920x1080,desktop
Windows | Windows 10 | edge 16.0 | 1920x1200,Windows,Windows 10,edge 16.0,1920x1200,desktop
MacOS | Mac OS X 10_9_5 | chrome 63.0 | 2560x1600,MacOS,Mac OS X 10_9_5,chrome 63.0,2560x1600,desktop
SM-A720F Build/NRD90M | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-A720F Build/NRD90M,nan,chrome 63.0 for android,nan,mobile
SAMSUNG SM-J530GM Build/NRD90M | UnknownOS | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-J530GM Build/NRD90M,nan,samsung browser 6.2,nan,mobile
MacOS | Mac OS X 10_11_6 | chrome 63.0 | 2880x1800,MacOS,Mac OS X 10_11_6,chrome 63.0,2880x1800,desktop
SM-J320M Build/LMY47V | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-J320M Build/LMY47V,nan,chrome 63.0 for android,nan,mobile
Moto C Build/NRD90M.046 | UnknownOS | chrome 56.0 for android | UnknownScreen,Moto C Build/NRD90M.046,nan,chrome 56.0 for android,nan,mobile
E6853 | UnknownOS | chrome | UnknownScreen,E6853,nan,chrome,nan,mobile
HUAWEI VNS-L53 Build/HUAWEIVNS-L53 | UnknownOS | chrome 60.0 for android | UnknownScreen,HUAWEI VNS-L53 Build/HUAWEIVNS-L53,nan,chrome 60.0 for android,nan,mobile
LG-H811 Build/MRA58K | Android 6.0 | chrome 62.0 for android | 2560x1440,LG-H811 Build/MRA58K,Android 6.0,chrome 62.0 for android,2560x1440,mobile
Windows | Windows 7 | chrome 63.0 | 2400x1350,Windows,Windows 7,chrome 63.0,2400x1350,desktop
rv:48.0 | UnknownOS | firefox 48.0 | UnknownScreen,rv:48.0,nan,firefox 48.0,nan,desktop
F5121 Build/34.3.A.0.252 | UnknownOS | chrome 63.0 for android | UnknownScreen,F5121 Build/34.3.A.0.252,nan,chrome 63.0 for android,nan,mobile
MacOS | Mac OS X 10_13_2 | safari generic | 1920x1080,MacOS,Mac OS X 10_13_2,safari generic,1920x1080,desktop
SAMSUNG SM-N950U Build/NMF26X | Android 7.1.1 | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-N950U Build/NMF26X,Android 7.1.1,samsung browser 6.2,nan,mobile
Z981 Build/MMB29M | Android 6.0.1 | chrome 63.0 for android | 1920x1080,Z981 Build/MMB29M,Android 6.0.1,chrome 63.0 for android,1920x1080,mobile
Moto G (5S | UnknownOS | chrome generic | UnknownScreen,Moto G (5S,nan,chrome generic,nan,mobile
D5803 Build/23.5.A.1.291 | UnknownOS | chrome 63.0 for android | UnknownScreen,D5803 Build/23.5.A.1.291,nan,chrome 63.0 for android,nan,mobile
SM-J710MN Build/MMB29K | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-J710MN Build/MMB29K,nan,chrome 63.0 for android,nan,mobile
Moto Z2 Play Build/NPSS26.118-19-6 | UnknownOS | chrome 57.0 for android | UnknownScreen,Moto Z2 Play Build/NPSS26.118-19-6,nan,chrome 57.0 for android,nan,mobile
LG-M250 Build/NRD90U | UnknownOS | chrome 63.0 for android | UnknownScreen,LG-M250 Build/NRD90U,nan,chrome 63.0 for android,nan,mobile
Windows | Windows 7 | firefox 57.0 | 1600x900,Windows,Windows 7,firefox 57.0,1600x900,desktop
SAMSUNG-SM-G930A Build/NRD90M | Android 7.0 | chrome 63.0 for android | 1920x1080,SAMSUNG-SM-G930A Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,mobile
LG-H500 Build/LRX21Y | UnknownOS | chrome generic | UnknownScreen,LG-H500 Build/LRX21Y,nan,chrome generic,nan,mobile
Hisense F20 Build/MMB29M | UnknownOS | chrome 63.0 for android | UnknownScreen,Hisense F20 Build/MMB29M,nan,chrome 63.0 for android,nan,mobile
SM-G355M Build/KOT49H | UnknownOS | chrome 60.0 for android | UnknownScreen,SM-G355M Build/KOT49H,nan,chrome 60.0 for android,nan,mobile
SAMSUNG SM-N900T Build/LRX21V | Android 5.0 | chrome generic | 1920x1080,SAMSUNG SM-N900T Build/LRX21V,Android 5.0,chrome generic,1920x1080,mobile
Windows | UnknownOS | chrome generic | UnknownScreen,Windows,nan,chrome generic,nan,desktop
HUAWEI G7-L03 Build/HuaweiG7-L03 | UnknownOS | chrome 63.0 for android | UnknownScreen,HUAWEI G7-L03 Build/HuaweiG7-L03,nan,chrome 63.0 for android,nan,mobile
Windows | Windows 10 | edge 16.0 | 1680x1050,Windows,Windows 10,edge 16.0,1680x1050,desktop
LG-D693n Build/LRX22G | UnknownOS | chrome 55.0 for android | UnknownScreen,LG-D693n Build/LRX22G,nan,chrome 55.0 for android,nan,mobile
BLU STUDIO C 5+5 Build/LRX21M | UnknownOS | chrome 63.0 for android | UnknownScreen,BLU STUDIO C 5+5 Build/LRX21M,nan,chrome 63.0 for android,nan,mobile
SM-G920I Build/NRD90M | UnknownOS | chrome 63.0 for android | UnknownScreen,SM-G920I Build/NRD90M,nan,chrome 63.0 for android,nan,mobile
